Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong,point_coordinates
,1,0,Valid,L5,0.0,1880-01-01T00:00:00.000,50.775000,6.083330,[]
,2,0,Valid,H6,0.0,1951-01-01T00:00:00.000,56.183330,10.233330,[]
,6,0,Valid,EH4,0.0,1952-01-01T00:00:00.000,54.216670,-113.000000,[]
,10,0,Valid,Acapulcoite,0.0,1976-01-01T00:00:00.000,16.883330,-99.900000,[]
,370,0,Valid,L6,0.0,1902-01-01T00:00:00.000,-33.166670,-64.950000,[]
,379,0,Valid,EH4,0.0,1919-01-01T00:00:00.000,32.100000,71.800000,[]
,390,0,Valid,LL3-6,0.0,1949-01-01T00:00:00.000,44.833330,95.166670,[]
,392,0,Valid,H5,0.0,1814-01-01T00:00:00.000,44.216670,0.616670,[]
,398,0,Valid,L6,0.0,1930-01-01T00:00:00.000,-31.600000,-65.233330,[]
,417,0,Valid,L,0.0,1920-01-01T00:00:00.000,-30.866670,-64.550000,[]
,423,0,Valid,Diogenite-pm,0.0,1974-01-01T00:00:00.000,16.398060,-9.570280,[]
,424,0,Valid,L6,0.0,1925-01-01T00:00:00.000,19.083330,8.383330,[]
,425,0,Valid,Unknown,0.0,1769-01-01T00:00:00.000,50.666670,2.333330,[]
,426,0,Valid,L6,0.0,1949-01-01T00:00:00.000,29.516670,35.050000,[]
,427,0,Valid,H4,0.0,1838-01-01T00:00:00.000,29.716670,77.950000,[]
,432,0,Valid,H,0.0,1959-01-01T00:00:00.000,8.916670,8.433330,[]
,433,0,Valid,"Iron, IVA",0.0,1981-01-01T00:00:00.000,39.916670,42.816670,[]
,446,0,Valid,CR2-an,0.0,1957-01-01T00:00:00.000,24.416670,39.516670,[]
,447,0,Valid,LL5,0.0,2001-01-01T00:00:00.000,13.660330,28.960000,[]
,448,0,Valid,CI1,0.0,1806-01-01T00:00:00.000,44.116670,4.083330,[]
,453,0,Valid,L/LL4,0.0,1766-01-01T00:00:00.000,44.650000,11.016670,[]
,454,0,Valid,L,0.0,1949-01-01T00:00:00.000,2.000000,22.666670,[]
,458,0,Valid,Eucrite-mmict,0.0,2002-01-01T00:00:00.000,45.821330,6.015330,[]
,461,0,Valid,LL5,0.0,1835-01-01T00:00:00.000,51.783330,-1.783330,[]
,462,0,Valid,L6,0.0,1873-01-01T00:00:00.000,36.233330,37.133330,[]
,463,0,Valid,H5,0.0,1860-01-01T00:00:00.000,44.883330,8.750000,[]
,465,0,Valid,H4,0.0,1900-01-01T00:00:00.000,50.950000,31.816670,[]
,466,0,Valid,L6,0.0,1883-01-01T00:00:00.000,45.266670,10.150000,[]
,2276,0,Valid,H5,0.0,1899-01-01T00:00:00.000,42.533330,-85.883330,[]
,2278,0,Valid,CV3,0.0,1969-01-01T00:00:00.000,26.966670,-105.316670,[]
,48915,0,Valid,Ureilite-an,0.0,2008-01-01T00:00:00.000,20.745750,32.412750,[]
,2284,0,Valid,LL5,0.0,1977-01-01T00:00:00.000,35.273330,44.215560,[]
,2290,0,Valid,H5,0.0,1895-01-01T00:00:00.000,27.666670,78.250000,[]
,2294,0,Valid,Stone-uncl,0.0,1880-01-01T00:00:00.000,26.583330,85.566670,[]
,2295,0,Valid,L6,0.0,1898-01-01T00:00:00.000,44.616670,-70.750000,[]
,2296,0,Valid,L3,0.0,1969-01-01T00:00:00.000,48.700000,37.500000,[]
,2298,0,Valid,H6,0.0,1939-01-01T00:00:00.000,20.883330,76.866670,[]
,50693,0,Valid,L5,0.0,,0.000000,0.000000,[]
,2301,0,Valid,L6,0.0,1822-01-01T00:00:00.000,47.466670,-0.550000,[]
,2302,0,Valid,Angrite,0.0,1869-01-01T00:00:00.000,-22.966670,-44.316670,[]
,2304,0,Valid,H4,0.0,1942-01-01T00:00:00.000,9.533330,39.716670,[]
,2305,0,Valid,H5,0.0,1971-01-01T00:00:00.000,25.150000,105.183330,[]
,2313,0,Valid,L6,0.0,1984-01-01T00:00:00.000,40.810560,140.785560,[]
,2318,0,Valid,LL6,0.0,1914-01-01T00:00:00.000,53.583330,-2.716670,[]
,2320,0,Valid,L6,0.0,1803-01-01T00:00:00.000,43.866670,5.383330,[]
,2325,0,Valid,H5,0.0,1954-01-01T00:00:00.000,-33.000000,-66.000000,[]
,2329,0,Valid,H6,0.0,1932-01-01T00:00:00.000,38.500000,-94.300000,[]
,2340,0,Valid,H5,0.0,1950-01-01T00:00:00.000,-31.416670,-60.666670,[]
,2345,0,Valid,H6,0.0,1805-01-01T00:00:00.000,42.450000,9.033330,[]
,48954,0,Valid,L6,0.0,2009-01-01T00:00:00.000,31.805000,-97.010000,[]
,2346,0,Valid,L6,0.0,1923-01-01T00:00:00.000,52.050000,0.300000,[]
,2353,0,Valid,H5,0.0,1886-01-01T00:00:00.000,43.033330,12.550000,[]
,4883,0,Valid,L4,0.0,1920-01-01T00:00:00.000,25.254170,80.625000,[]
,4884,0,Valid,L6,0.0,1896-01-01T00:00:00.000,20.066670,-103.666670,[]
,4885,0,Valid,LL6,0.0,1933-01-01T00:00:00.000,34.750000,-87.000000,[]
,4888,0,Valid,L6,0.0,1945-01-01T00:00:00.000,34.316670,-96.150000,[]
,4893,0,Valid,Aubrite,0.0,1836-01-01T00:00:00.000,44.383330,5.166670,[]
,4899,0,Valid,L6,0.0,1865-01-01T00:00:00.000,36.166670,3.666670,[]
,4900,0,Valid,L6,0.0,1842-01-01T00:00:00.000,44.333330,3.233330,[]
,4903,0,Valid,L5,0.0,1858-01-01T00:00:00.000,43.083330,0.583330,[]
,4905,0,Valid,H4,0.0,1952-01-01T00:00:00.000,-21.460280,-49.950830,[]
,4906,0,Valid,"Iron, IIAB",0.0,1908-01-01T00:00:00.000,46.000000,13.500000,[]
,4907,0,Valid,H,0.0,1855-01-01T00:00:00.000,25.000000,-103.500000,[]
,4910,0,Valid,L4,0.0,1968-01-01T00:00:00.000,2.716670,32.833330,[]
,4913,0,Valid,L6,0.0,1938-01-01T00:00:00.000,36.800000,-108.000000,[]
,4917,0,Valid,L6,0.0,1814-01-01T00:00:00.000,48.600000,38.000000,[]
,4922,0,Valid,"Iron, IAB-sLL",0.0,1934-01-01T00:00:00.000,28.483330,78.500000,[]
,4925,0,Valid,L4,0.0,1929-01-01T00:00:00.000,35.966670,-82.483330,[]
,4926,0,Valid,L6,0.0,1922-01-01T00:00:00.000,34.500000,-88.666670,[]
,4928,0,Valid,CV3,0.0,1907-01-01T00:00:00.000,5.383330,16.383330,[]
,4934,0,Valid,"Iron, ungrouped",0.0,1993-01-01T00:00:00.000,16.666670,101.183330,[]
,4935,0,Valid,LL6,0.0,1871-01-01T00:00:00.000,-6.916670,107.600000,[]
,4936,0,Valid,L6,0.0,1892-01-01T00:00:00.000,27.700000,76.333330,[]
,4937,0,Valid,L5,0.0,1913-01-01T00:00:00.000,30.400000,78.200000,[]
,4938,0,Valid,CM2,0.0,1933-01-01T00:00:00.000,-6.333330,106.000000,[]
,4942,0,Valid,H5,0.0,1790-01-01T00:00:00.000,43.950000,-0.050000,[]
,4944,0,Valid,OC,0.0,1704-01-01T00:00:00.000,41.366670,2.166670,[]
,4946,0,Valid,Mesosiderite-A1,0.0,1842-01-01T00:00:00.000,42.383330,-2.500000,[]
,4947,0,Valid,H5,0.0,1904-01-01T00:00:00.000,52.733330,84.083330,[]
,4948,0,Valid,LL4,0.0,1886-01-01T00:00:00.000,52.000000,9.100000,[]
,4949,0,Valid,L6,0.0,1910-01-01T00:00:00.000,31.616670,76.800000,[]
,4954,0,Valid,L5,0.0,1965-01-01T00:00:00.000,52.565280,-1.339720,[]
,44876,0,Valid,H5,0.0,2006-01-01T00:00:00.000,15.783330,-5.900000,[]
,4957,0,Valid,L5,0.0,1994-01-01T00:00:00.000,52.033330,20.935830,[]
,4974,0,Valid,H4,0.0,1892-01-01T00:00:00.000,45.416670,-98.316670,[]
,4975,0,Valid,L6,0.0,1902-01-01T00:00:00.000,38.250000,-83.750000,[]
,56133,0,Valid,L6,0.0,2012-01-01T00:00:00.000,40.668130,-117.189130,[]
,4976,0,Valid,LL5,0.0,1989-01-01T00:00:00.000,11.083330,-0.183330,[]
,4977,0,Valid,L6,0.0,1916-01-01T00:00:00.000,36.750000,-93.500000,[]
,4984,0,Valid,H5,0.0,1929-01-01T00:00:00.000,39.800000,-101.200000,[]
,4986,0,Valid,H5,0.0,1893-01-01T00:00:00.000,51.166670,-117.333330,[]
,4993,0,Valid,H5,0.0,1949-01-01T00:00:00.000,53.016670,-4.100000,[]
,5005,0,Valid,C2-ung,0.0,1961-01-01T00:00:00.000,33.600000,-96.466670,[]
,5009,0,Valid,OC,0.0,1937-01-01T00:00:00.000,-32.333330,-64.866670,[]
,5011,0,Valid,LL4,0.0,1798-01-01T00:00:00.000,25.366670,82.916670,[]
,30443,0,Valid,LL6,0.0,2004-01-01T00:00:00.000,32.250000,-8.150000,[]
,5018,0,Valid,L6,0.0,2001-01-01T00:00:00.000,32.866670,10.800000,[]
,5021,0,Valid,H6,0.0,1938-01-01T00:00:00.000,39.083330,-89.150000,[]
,5023,0,Valid,H6,0.0,1943-01-01T00:00:00.000,-26.166670,28.416670,[]
,5024,0,Valid,LL6,0.0,2002-01-01T00:00:00.000,30.000000,-7.000000,[]
,5026,0,Valid,LL6,0.0,1949-01-01T00:00:00.000,45.950000,-67.550000,[]
,48975,0,Valid,L6,0.0,2008-01-01T00:00:00.000,-31.910000,-58.328330,[]
,5028,0,Valid,Eucrite-mmict,0.0,1924-01-01T00:00:00.000,11.650000,-3.650000,[]
,5029,0,Valid,L6,0.0,1811-01-01T00:00:00.000,41.683330,-3.800000,[]
,47355,0,Valid,Eucrite-mmict,0.0,2004-01-01T00:00:00.000,40.305830,-105.023250,[]
,5032,0,Valid,H,0.0,1859-01-01T00:00:00.000,42.533330,-73.833330,[]
,5034,0,Valid,L5,0.0,1859-01-01T00:00:00.000,43.216670,-0.233330,[]
,5035,0,Valid,LL3.8,0.0,1921-01-01T00:00:00.000,33.883330,35.500000,[]
,5037,0,Valid,L6,0.0,1877-01-01T00:00:00.000,20.883330,74.833330,[]
,36591,0,Valid,LL6,0.0,2002-01-01T00:00:00.000,26.508330,73.115280,[]
,5039,0,Valid,L6,0.0,1893-01-01T00:00:00.000,20.833330,71.466670,[]
,5040,0,Valid,LL3-6,0.0,1940-01-01T00:00:00.000,22.683330,90.650000,[]
,5041,0,Valid,Howardite,0.0,1905-01-01T00:00:00.000,22.083330,86.900000,[]
,5042,0,Valid,Eucrite-pmict,0.0,1827-01-01T00:00:00.000,53.100000,23.200000,[]
,5043,0,Valid,H4,0.0,1887-01-01T00:00:00.000,50.133330,27.166670,[]
,5045,0,Valid,Diogenite,0.0,1999-01-01T00:00:00.000,12.450000,-0.083330,[]
,5051,0,Valid,H5,0.0,1984-01-01T00:00:00.000,-33.156390,115.676390,[]
,5056,0,Valid,H4,0.0,1923-01-01T00:00:00.000,13.766670,5.300000,[]
,5059,0,Valid,Aubrite,0.0,1843-01-01T00:00:00.000,34.166670,-80.283330,[]
,5060,0,Valid,LL3.15,0.0,1895-01-01T00:00:00.000,25.383330,82.600000,[]
,5063,0,Valid,H6,0.0,1796-01-01T00:00:00.000,49.783330,30.166670,[]
,5064,0,Valid,L/LL4,0.0,1899-01-01T00:00:00.000,60.400000,25.800000,[]
,5065,0,Valid,L5,0.0,1941-01-01T00:00:00.000,40.916670,-78.083330,[]
,5068,0,Valid,L5,0.0,1906-01-01T00:00:00.000,36.833330,-97.333330,[]
,5071,0,Valid,L6,0.0,1909-01-01T00:00:00.000,31.833330,-98.833330,[]
,5072,0,Valid,H6,0.0,1833-01-01T00:00:00.000,49.366670,16.633330,[]
,5076,0,Valid,LL6,0.0,1938-01-01T00:00:00.000,40.480000,-89.004170,[]
,5090,0,Valid,LL3.9,0.0,1977-01-01T00:00:00.000,33.833330,115.833330,[]
,5093,0,Valid,L6,0.0,1804-01-01T00:00:00.000,23.000000,-102.000000,[]
,5097,0,Valid,"Iron, IAB-MG",0.0,1962-01-01T00:00:00.000,12.500000,0.700000,[]
,5098,0,Valid,"Iron, IIAB",0.0,1916-01-01T00:00:00.000,44.550000,131.633330,[]
,5110,0,Valid,LL6,0.0,1808-01-01T00:00:00.000,44.866670,10.050000,[]
,5111,0,Valid,L6,0.0,1894-01-01T00:00:00.000,21.950000,78.033330,[]
,5112,0,Valid,CM2,0.0,1930-01-01T00:00:00.000,54.233330,52.483330,[]
,5113,0,Valid,L5,0.0,1852-01-01T00:00:00.000,48.150000,24.283330,[]
,5114,0,Valid,H5,0.0,1812-01-01T00:00:00.000,55.466670,35.866670,[]
,5117,0,Valid,L4,0.0,1823-01-01T00:00:00.000,51.333330,33.883330,[]
,57168,0,Valid,L6,0.0,2003-01-01T00:00:00.000,17.710670,-11.371500,[]
,57167,0,Valid,L6,0.0,2011-01-01T00:00:00.000,17.174930,-11.341330,[]
,5121,0,Valid,L3,0.0,1969-01-01T00:00:00.000,54.566670,-6.333330,[]
,5128,0,Valid,L,0.0,1886-01-01T00:00:00.000,40.500000,-80.083330,[]
,5133,0,Valid,"Iron, IIAB",0.0,1847-01-01T00:00:00.000,50.600000,16.300000,[]
,5134,0,Valid,H5,0.0,1956-01-01T00:00:00.000,50.666940,8.183610,[]
,5135,0,Valid,H/L3.9,0.0,1855-01-01T00:00:00.000,53.400000,9.100000,[]
,5140,0,Valid,Eucrite-pmict,0.0,1933-01-01T00:00:00.000,52.133330,59.316670,[]
,5156,0,Valid,L6,0.0,1960-01-01T00:00:00.000,53.900000,-112.883330,[]
,30448,0,Valid,CV3,0.0,2001-01-01T00:00:00.000,39.779780,64.600350,[]
,5163,0,Valid,Iron?,0.0,1964-01-01T00:00:00.000,0.0,0.0,[]
,48653,0,Valid,Eucrite,0.0,2007-01-01T00:00:00.000,-31.350000,129.190000,[]
,5165,0,Valid,Howardite,0.0,1942-01-01T00:00:00.000,10.016670,9.583330,[]
,5169,0,Valid,H5,0.0,1919-01-01T00:00:00.000,5.000000,48.000000,[]
,5175,0,Valid,H4-an,0.0,1990-01-01T00:00:00.000,37.621940,-82.237220,[]
,5177,0,Valid,L6,0.0,1946-01-01T00:00:00.000,40.200000,29.233330,[]
,5178,0,Valid,L6,0.0,1863-01-01T00:00:00.000,46.450000,25.783330,[]
,5181,0,Valid,Aubrite,0.0,1852-01-01T00:00:00.000,26.783330,82.833330,[]
,5183,0,Valid,H6,0.0,1861-01-01T00:00:00.000,27.083330,84.083330,[]
,48654,0,Valid,H4,0.0,2008-01-01T00:00:00.000,52.996000,-109.848170,[]
,5185,0,Valid,L/LL6,0.0,1870-01-01T00:00:00.000,37.983330,-1.166670,[]
,5186,0,Valid,"Iron, IIIAB",0.0,1886-01-01T00:00:00.000,35.500000,-93.500000,[]
,5187,0,Valid,OC,0.0,1919-01-01T00:00:00.000,43.838890,20.333330,[]
,45976,0,Valid,H/L4,0.0,2007-01-01T00:00:00.000,3.405000,-76.510000,[]
,5200,0,Valid,Stone-uncl,0.0,1916-01-01T00:00:00.000,11.750000,122.333330,[]
,5249,0,Valid,L5,0.0,1991-01-01T00:00:00.000,-7.033330,-40.166670,[]
,5250,0,Valid,L6,0.0,1964-01-01T00:00:00.000,39.800000,26.600000,[]
,5251,0,Valid,H4,0.0,1861-01-01T00:00:00.000,41.250000,1.666670,[]
,5252,0,Valid,H5,0.0,1866-01-01T00:00:00.000,43.383330,-5.150000,[]
,5253,0,Valid,H6,0.0,1973-01-01T00:00:00.000,38.470280,-105.241390,[]
,5260,0,Valid,H6,0.0,1846-01-01T00:00:00.000,37.266670,-89.583330,[]
,5264,0,Valid,H6,0.0,1934-01-01T00:00:00.000,-30.883330,-64.550000,[]
,45817,0,Valid,H4-5,0.0,2007-01-01T00:00:00.000,-16.664440,-69.043890,[]
,5265,0,Valid,LL6,0.0,1902-01-01T00:00:00.000,38.500000,27.000000,[]
,5291,0,Valid,H5,0.0,1874-01-01T00:00:00.000,36.083330,-78.066670,[]
,5292,0,Valid,Stone-uncl,0.0,1791-01-01T00:00:00.000,43.350000,11.500000,[]
,5293,0,Valid,L6,0.0,1848-01-01T00:00:00.000,44.383330,-68.750000,[]
,5295,0,Valid,Stone-uncl,0.0,1583-01-01T00:00:00.000,39.800000,16.200000,[]
,5296,0,Valid,OC,0.0,1810-01-01T00:00:00.000,36.500000,-79.250000,[]
,5306,0,Valid,L3.7,0.0,1988-01-01T00:00:00.000,26.466670,-105.233330,[]
,5307,0,Valid,H5,0.0,1956-01-01T00:00:00.000,43.200000,-96.916670,[]
,5308,0,Valid,H5,0.0,1840-01-01T00:00:00.000,45.083330,8.300000,[]
,5313,0,Valid,L6,0.0,1998-01-01T00:00:00.000,28.533330,109.316670,[]
,5314,0,Valid,H6,0.0,1814-01-01T00:00:00.000,25.366670,81.666670,[]
,5315,0,Valid,LL3.4,0.0,1907-01-01T00:00:00.000,25.850000,83.483330,[]
,5316,0,Valid,L5,0.0,1933-01-01T00:00:00.000,-30.783330,-58.050000,[]
,5320,0,Valid,L5,0.0,1838-01-01T00:00:00.000,20.266670,76.016670,[]
,5321,0,Valid,L6,0.0,1885-01-01T00:00:00.000,27.283330,79.050000,[]
,5322,0,Valid,H5,0.0,1977-01-01T00:00:00.000,29.083330,111.750000,[]
,5325,0,Valid,L6,0.0,1812-01-01T00:00:00.000,46.683330,1.050000,[]
,5328,0,Valid,"Iron, IVA",0.0,1835-01-01T00:00:00.000,36.166670,-87.333330,[]
,5329,0,Valid,H6,0.0,1810-01-01T00:00:00.000,47.933330,1.566670,[]
,5330,0,Valid,H6,0.0,1834-01-01T00:00:00.000,29.483330,75.500000,[]
,5331,0,Valid,Martian (chassignite),0.0,1815-01-01T00:00:00.000,47.716670,5.366670,[]
,5332,0,Valid,L6,0.0,1841-01-01T00:00:00.000,47.933330,2.916670,[]
,5334,0,Valid,Howardite,0.0,1925-01-01T00:00:00.000,41.933330,-7.466670,[]
,5338,0,Valid,H4,0.0,1988-01-01T00:00:00.000,-3.666670,32.500000,[]
,57165,0,Valid,LL5,0.0,2013-01-01T00:00:00.000,54.816670,61.116670,[]
,47347,0,Valid,H5,0.0,2007-01-01T00:00:00.000,23.696390,-5.014720,[]
,5339,0,Valid,H4,0.0,1964-01-01T00:00:00.000,53.700000,30.100000,[]
,5340,0,Valid,LL6,0.0,1933-01-01T00:00:00.000,35.033330,-81.883330,[]
,5341,0,Valid,L5,0.0,1901-01-01T00:00:00.000,46.550000,6.816670,[]
,5342,0,Valid,Eucrite-mmict,0.0,1939-01-01T00:00:00.000,50.833330,34.000000,[]
,5344,0,Valid,Stone-uncl,0.0,1880-01-01T00:00:00.000,14.500000,76.500000,[]
,5345,0,Valid,H6,0.0,1981-01-01T00:00:00.000,17.900000,101.633330,[]
,5349,0,Valid,LL6,0.0,1938-01-01T00:00:00.000,40.933330,-79.733330,[]
,5355,0,Valid,"Iron, IIIAB",0.0,1988-01-01T00:00:00.000,-10.059440,33.395000,[]
,5356,0,Valid,L6,0.0,1966-01-01T00:00:00.000,-17.350000,13.966670,[]
,5357,0,Valid,L6,0.0,1978-01-01T00:00:00.000,47.470830,0.976670,[]
,5364,0,Valid,L5,0.0,1979-01-01T00:00:00.000,-6.950000,108.100000,[]
,5374,0,Valid,L6,0.0,1984-01-01T00:00:00.000,32.102500,-81.872780,[]
,5383,0,Valid,L4,0.0,1822-01-01T00:00:00.000,0.0,0.0,[]
,5395,0,Valid,L6,0.0,1917-01-01T00:00:00.000,44.900000,-90.283330,[]
,5397,0,Valid,CM2,0.0,1838-01-01T00:00:00.000,-33.133330,19.383330,[]
,5401,0,Valid,L6,0.0,1994-01-01T00:00:00.000,43.761110,-84.507780,[]
,5403,0,Valid,H5,0.0,1890-01-01T00:00:00.000,42.533330,12.616670,[]
,5418,0,Valid,H4,0.0,1965-01-01T00:00:00.000,-19.850000,-47.550000,[]
,5451,0,Valid,H5,0.0,1844-01-01T00:00:00.000,21.166670,-100.866670,[]
,5465,0,Valid,L6,0.0,1917-01-01T00:00:00.000,10.200000,76.266670,[]
,5470,0,Valid,CM2,0.0,1936-01-01T00:00:00.000,35.950000,-97.583330,[]
,5474,0,Valid,H5,0.0,1877-01-01T00:00:00.000,-27.700000,27.300000,[]
,5476,0,Valid,H5,0.0,1892-01-01T00:00:00.000,35.633330,-78.133330,[]
,5477,0,Valid,L5,0.0,1902-01-01T00:00:00.000,54.616670,-6.216670,[]
,5496,0,Valid,Aubrite,0.0,1919-01-01T00:00:00.000,36.833330,-84.350000,[]
,5500,0,Valid,L/LL4,0.0,1877-01-01T00:00:00.000,38.400000,-84.250000,[]
,5504,0,Valid,LL6,0.0,1981-01-01T00:00:00.000,35.616670,8.833330,[]
,5511,0,Valid,L6,0.0,1878-01-01T00:00:00.000,26.916670,83.966670,[]
,5513,0,Valid,EL6,0.0,1868-01-01T00:00:00.000,-28.200000,24.566670,[]
,5514,0,Valid,L6,0.0,1868-01-01T00:00:00.000,34.400000,-87.066670,[]
,6603,0,Valid,H5,0.0,1804-01-01T00:00:00.000,49.866670,8.650000,[]
,6604,0,Valid,H5,0.0,1998-01-01T00:00:00.000,41.984440,59.685000,[]
,51559,0,Valid,L5,0.0,2008-01-01T00:00:00.000,-1.870890,-79.957560,[]
,6621,0,Valid,H6,0.0,1887-01-01T00:00:00.000,43.000000,-80.000000,[]
,6634,0,Valid,L6,0.0,1829-01-01T00:00:00.000,40.250000,-74.000000,[]
,6642,0,Valid,L5,0.0,1897-01-01T00:00:00.000,28.566670,77.250000,[]
,6649,0,Valid,L6,0.0,1911-01-01T00:00:00.000,51.466670,84.766670,[]
,6660,0,Valid,L6,0.0,1967-01-01T00:00:00.000,39.782500,-104.930560,[]
,6664,0,Valid,H5,0.0,2001-01-01T00:00:00.000,26.683330,93.866670,[]
,6693,0,Valid,H6,0.0,1962-01-01T00:00:00.000,25.733330,73.616670,[]
,6694,0,Valid,H3.8,0.0,2001-01-01T00:00:00.000,19.000000,81.000000,[]
,6696,0,Valid,L6,0.0,1994-01-01T00:00:00.000,24.225000,76.525000,[]
,6698,0,Valid,H3.8,0.0,1976-01-01T00:00:00.000,22.377780,71.427220,[]
,6699,0,Valid,OC,0.0,1848-01-01T00:00:00.000,14.883330,75.600000,[]
,7640,0,Valid,LL6,0.0,1860-01-01T00:00:00.000,32.233330,76.466670,[]
,47350,0,Valid,H3-5,0.0,2007-01-01T00:00:00.000,37.351720,27.329970,[]
,7642,0,Valid,L6,0.0,1906-01-01T00:00:00.000,-33.750000,18.566670,[]
,7649,0,Valid,H4,0.0,1957-01-01T00:00:00.000,-31.883330,-60.466670,[]
,7652,0,Valid,H6,0.0,1884-01-01T00:00:00.000,-7.500000,111.500000,[]
,7656,0,Valid,H,0.0,1961-01-01T00:00:00.000,12.733330,15.050000,[]
,7657,0,Valid,H5-6,0.0,1999-01-01T00:00:00.000,36.950000,9.550000,[]
,7658,0,Valid,H5,0.0,1903-01-01T00:00:00.000,23.500000,90.333330,[]
,7659,0,Valid,L6,0.0,1864-01-01T00:00:00.000,50.750000,25.300000,[]
,7661,0,Valid,L5,0.0,1907-01-01T00:00:00.000,40.000000,29.000000,[]
,7706,0,Valid,Mesosiderite,0.0,1995-01-01T00:00:00.000,45.500000,119.033330,[]
,7707,0,Valid,H6,0.0,1899-01-01T00:00:00.000,21.866670,82.450000,[]
